Country,2020 Pop,2019 Pop,2018 Pop,2017 Pop,2016 Pop,2015 Pop,2014 Pop,2013 Pop,2012 Pop,2011 Pop,2010 Pop,2009 Pop,2008 Pop,2007 Pop,2006 Pop,2005 Pop,2004 Pop,2003 Pop,2002 Pop,2001 Pop,2000 Pop
Ethiopia,115000000,112000000,109000000,106000000,104000000,101000000,98100000,95400000,92700000,90100000,87600000,85200000,82900000,80700000,78500000,76300000,74200000,72200000,70100000,68200000,66200000
Fed. Sts. Micronesia,115000,114000,113000,111000,110000,109000,107000,106000,105000,103000,103000,103000,104000,104000,105000,106000,107000,107000,107000,107000,107000
Fiji,896000,890000,883000,877000,872000,869000,866000,866000,865000,863000,860000,854000,845000,836000,828000,822000,818000,816000,815000,814000,811000
Finland,5540000,5530000,5520000,5510000,5500000,5480000,5460000,5440000,5410000,5390000,5370000,5340000,5320000,5300000,5280000,5260000,5240000,5230000,5210000,5200000,5190000
France,65300000,65100000,65000000,64800000,64700000,64500000,64200000,63900000,63600000,63200000,62900000,62500000,62200000,61900000,61500000,61100000,60700000,60300000,59800000,59400000,59000000
Gabon,2230000,2170000,2120000,2060000,2010000,1950000,1880000,1820000,1750000,1680000,1620000,1570000,1520000,1470000,1430000,1390000,1350000,1320000,1290000,1260000,1230000
Gambia,2420000,2350000,2280000,2210000,2150000,2090000,2020000,1960000,1910000,1850000,1790000,1740000,1690000,1640000,1590000,1540000,1500000,1450000,1400000,1360000,1320000
Georgia,3990000,4000000,4000000,4010000,4020000,4020000,4040000,4050000,4060000,4080000,4100000,4120000,4140000,4170000,4190000,4210000,4230000,4240000,4260000,4300000,4360000
Germany,83800000,83500000,83100000,82700000,82200000,81800000,81500000,81200000,81000000,80900000,80800000,80900000,81100000,81300000,81500000,81600000,81600000,81600000,81500000,81500000,81400000
Ghana,31100000,30400000,29800000,29100000,28500000,27800000,27200000,26600000,26000000,25400000,24800000,24200000,23600000,23000000,22400000,21800000,21300000,20800000,20200000,19800000,19300000
Greece,10400000,10500000,10500000,10600000,10600000,10700000,10700000,10700000,10800000,10800000,10900000,11000000,11000000,11100000,11200000,11200000,11200000,11200000,11200000,11100000,11100000
Grenada,113000,112000,111000,111000,110000,110000,109000,108000,107000,107000,106000,106000,105000,105000,105000,105000,104000,104000,104000,103000,103000
Guatemala,17900000,17600000,17200000,16900000,16600000,16300000,15900000,15600000,15300000,14900000,14600000,14300000,14000000,13700000,13400000,13100000,12800000,12500000,12200000,11900000,11700000
Guinea,13100000,12800000,12400000,12100000,11700000,11400000,11200000,10900000,10700000,10400000,10200000,9960000,9740000,9520000,9310000,9110000,8930000,8750000,8590000,8420000,8240000
Guinea-Bissau,1970000,1920000,1870000,1830000,1780000,1740000,1690000,1650000,1600000,1560000,1520000,1480000,1450000,1410000,1380000,1340000,1310000,1280000,1250000,1230000,1200000
Guyana,787000,783000,779000,775000,771000,767000,763000,759000,755000,752000,749000,748000,747000,746000,746000,746000,746000,745000,745000,745000,747000
Haiti,11400000,11300000,11100000,11000000,10800000,10700000,10500000,10400000,10300000,10100000,9950000,9800000,9650000,9500000,9340000,9200000,9050000,8900000,8750000,8610000,8460000
Honduras,9900000,9750000,9590000,9430000,9270000,9110000,8960000,8800000,8640000,8480000,8320000,8150000,7980000,7810000,7630000,7460000,7280000,7110000,6930000,6750000,6570000
Hungary,9660000,9680000,9710000,9730000,9750000,9780000,9800000,9830000,9860000,9900000,9930000,9960000,9990000,10000000,10100000,10100000,10100000,10100000,10200000,10200000,10200000
Iceland,341000,339000,337000,334000,332000,330000,329000,327000,326000,323000,320000,316000,311000,305000,300000,295000,291000,288000,285000,283000,280000
India,1380000000,1370000000,1350000000,1340000000,1320000000,1310000000,1300000000,1280000000,1270000000,1250000000,1230000000,1220000000,1200000000,1180000000,1170000000,1150000000,1130000000,1110000000,1090000000,1080000000,1060000000
Indonesia,274000000,271000000,268000000,265000000,262000000,258000000,255000000,252000000,248000000,245000000,242000000,239000000,235000000,232000000,229000000,226000000,223000000,220000000,217000000,214000000,212000000
Iran,84000000,82900000,81800000,80700000,79600000,78500000,77500000,76500000,75500000,74600000,73800000,72900000,72100000,71300000,70600000,69800000,69000000,68100000,67300000,66400000,65600000
Iraq,40200000,39300000,38400000,37600000,36600000,35600000,34400000,33200000,31900000,30700000,29700000,29000000,28400000,27900000,27400000,26900000,26300000,25600000,24900000,24200000,23500000
Ireland,4940000,4880000,4820000,4750000,4700000,4650000,4630000,4620000,4610000,4590000,4550000,4490000,4420000,4320000,4230000,4140000,4060000,3980000,3910000,3840000,3780000
Israel,8660000,8520000,8380000,8240000,8110000,7980000,7850000,7730000,7610000,7490000,7350000,7190000,7020000,6850000,6680000,6530000,6400000,6280000,6170000,6060000,5950000
Italy,60500000,60600000,60600000,60700000,60700000,60600000,60400000,60200000,59900000,59600000,59300000,59100000,58900000,58700000,58500000,58300000,57900000,57600000,57200000,56900000,56700000
Jamaica,2960000,2950000,2930000,2920000,2910000,2890000,2880000,2860000,2840000,2830000,2810000,2800000,2780000,2770000,2750000,2740000,2730000,2710000,2690000,2670000,2650000
Japan,126000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000
Jordan,10200000,10100000,9970000,9790000,9550000,9270000,8920000,8520000,8090000,7660000,7260000,6890000,6560000,6260000,5990000,5770000,5580000,5430000,5320000,5220000,5120000
Kazakhstan,18800000,18600000,18300000,18100000,17800000,17600000,17300000,17000000,16800000,16500000,16300000,16000000,15900000,15700000,15600000,15400000,15300000,15100000,15000000,14900000,14900000
Kenya,53800000,52600000,51400000,50200000,49100000,47900000,46700000,45500000,44300000,43200000,42000000,40900000,39800000,38700000,37600000,36600000,35600000,34700000,33800000,32800000,32000000
Kiribati,119000,118000,116000,114000,113000,111000,109000,108000,106000,105000,103000,101000,98800,96500,94300,92300,90500,88800,87300,85800,84400
Kuwait,4270000,4210000,4140000,4060000,3960000,3840000,3690000,3530000,3350000,3170000,2990000,2820000,2660000,2500000,2370000,2270000,2200000,2160000,2140000,2100000,2050000
Kyrgyz Republic,6520000,6420000,6300000,6190000,6070000,5960000,5840000,5730000,5620000,5520000,5420000,5330000,5250000,5180000,5120000,5080000,5040000,5010000,4990000,4960000,4920000
Lao,7280000,7170000,7060000,6950000,6850000,6740000,6640000,6540000,6440000,6350000,6250000,6150000,6050000,5940000,5850000,5750000,5660000,5580000,5490000,5410000,5320000
Latvia,1890000,1910000,1930000,1950000,1970000,2000000,2020000,2040000,2070000,2090000,2120000,2140000,2170000,2200000,2230000,2250000,2280000,2310000,2330000,2360000,2380000
Lebanon,6830000,6860000,6860000,6820000,6710000,6530000,6260000,5910000,5540000,5200000,4950000,4810000,4760000,4770000,4760000,4700000,4570000,4390000,4180000,3990000,3840000
Lesotho,2140000,2130000,2110000,2090000,2080000,2060000,2040000,2030000,2010000,2000000,2000000,1990000,1990000,1990000,1990000,2000000,2010000,2020000,2030000,2040000,2030000
Liberia,5060000,4940000,4820000,4700000,4590000,4470000,4360000,4250000,4140000,4020000,3890000,3750000,3610000,3460000,3330000,3220000,3140000,3080000,3020000,2950000,2850000
Libya,6870000,6780000,6680000,6580000,6490000,6420000,6360000,6320000,6290000,6250000,6200000,6130000,6060000,5970000,5890000,5800000,5710000,5620000,5530000,5440000,5360000
Liechtenstein,38100,38000,37900,37800,37700,37500,37200,36900,36600,36300,36000,35700,35500,35200,35000,34700,34400,34200,33900,33500,33200
Lithuania,2720000,2760000,2800000,2850000,2890000,2930000,2970000,3010000,3050000,3080000,3120000,3170000,3210000,3260000,3300000,3340000,3380000,3410000,3440000,3470000,3500000
Luxembourg,626000,616000,604000,592000,579000,567000,555000,543000,531000,519000,508000,497000,485000,475000,466000,458000,452000,447000,444000,440000,436000
Madagascar,27700000,27000000,26300000,25600000,24900000,24200000,23600000,23000000,22300000,21700000,21200000,20600000,20000000,19400000,18900000,18300000,17800000,17300000,16800000,16300000,15800000
Malawi,19100000,18600000,18100000,17700000,17200000,16700000,16300000,15800000,15400000,15000000,14500000,14100000,13700000,13300000,13000000,12600000,12300000,12000000,11700000,11400000,11100000
